CustomerID,Age,Gender,IncomeLevel,Occupation,GeographicLocation,AccountType,NumberOfAccounts,AverageBalance,TransactionVolume,DepositPatterns,SpendingPatterns,ChannelUsage,EngagementFrequency,ServiceUsage,RevenueContribution,CostToServe,LifetimeValue,ChurnRate,CreditScore,LoanRepaymentHistory,DebtToIncomeRatio,AgeGroup,IncomeGroup,HighValueCustomer,TransactionToBalanceRatio,DebtToIncomeCategory,ChurnRiskCategory,Cluster
6,25,Female,55572,Self-Employed,North,Savings,3,10175,139,4082,7844,Mobile,20,Yes,10080,654,56130,0.4881920109801412,719,Poor,0.0185032338738647,18-30,40K-60K,True,0.0136609336609336,0-20%,Medium,1
13,41,Female,49011,Professional,Central,Checking,4,33029,386,9707,1749,Mobile,18,Yes,16964,2393,92664,0.5465886280335965,700,Poor,0.5023789962646786,41-50,40K-60K,True,0.0116866995670471,41-60%,Medium,1
15,57,Male,54764,Professional,North,Savings,3,45774,176,8731,2873,Online,22,Yes,1396,256,81718,0.0180198557841509,311,Good,0.1621834266971569,51-60,40K-60K,True,0.003844977498143,0-20%,Very Low,1
16,41,Male,117540,Unemployed,North,Savings,3,12711,127,8730,3940,Online,16,No,7548,3833,10584,0.3518090301001291,420,Good,0.168978380007181,41-50,100K-150K,False,0.0099913460781999,0-20%,Low,1
18,39,Male,44064,Self-Employed,South,Checking,3,36455,454,5416,1638,Branch,14,Yes,8195,1927,52616,0.2503838206599108,477,Poor,0.3716746344522473,31-40,40K-60K,True,0.0124537100534906,21-40%,Low,1
19,19,Female,143989,Professional,Central,Checking,3,4156,214,5574,555,Online,25,Yes,18305,4068,50068,0.291733572103141,518,Good,0.4643775162051422,18-30,100K-150K,False,0.0514918190567853,41-60%,Low,1
20,41,Female,147825,Retired,South,Savings,3,17959,498,7481,7020,Mobile,18,No,5425,4657,22152,0.1200815598865822,691,Average,0.5802315941580484,41-50,100K-150K,False,0.0277298290550698,41-60%,Very Low,1
23,55,Male,48702,Student,South,Savings,3,34170,394,8920,1913,Online,25,Yes,14096,1527,37744,0.6285231781427951,782,Good,0.3362177084709781,51-60,40K-60K,False,0.0115305823822066,21-40%,High,1
24,19,Female,105701,Self-Employed,East,Savings,4,9444,67,3116,712,Online,23,Yes,18604,2240,11439,0.5241406843751518,783,Good,0.7692863761649359,18-30,100K-150K,False,0.0070944515036001,61-80%,Medium,1
27,29,Female,143864,Student,West,Savings,3,49061,413,4337,7752,Mobile,2,Yes,4007,1331,9521,0.3941840763148077,660,Good,0.668455777595715,18-30,100K-150K,False,0.008418091763315,61-80%,Low,1
28,39,Female,107388,Professional,East,Savings,3,36477,471,6061,2639,Branch,27,Yes,15689,3005,3936,0.8021845699297089,549,Poor,0.1830120330186665,31-40,100K-150K,False,0.0129122460728678,0-20%,Very High,1
30,42,Female,90043,Student,East,Checking,3,46724,249,3583,6781,Online,13,No,15642,1188,42161,0.2697672230846676,617,Good,0.8432361006978001,41-50,80K-100K,False,0.0053291670233712,81-100%,Low,1
33,59,Female,55764,Professional,West,Checking,3,31129,97,9657,9784,Mobile,2,Yes,11525,1651,13158,0.2802241601175401,616,Average,0.2874674123305981,51-60,40K-60K,False,0.0031160654052491,21-40%,Low,1
35,33,Male,148787,Retired,South,Checking,3,36427,288,1655,6113,Online,22,No,7586,2509,71511,0.1653760463509852,786,Poor,0.1783629740400846,31-40,100K-150K,True,0.0079062234057155,0-20%,Very Low,1
36,32,Male,70513,Professional,West,Checking,4,6241,313,5160,7673,Branch,13,Yes,4570,2870,80759,0.0651501577278456,705,Poor,0.6670112972850182,31-40,60K-80K,True,0.0501522191956417,61-80%,Very Low,1
39,61,Male,133076,Professional,East,Savings,4,42938,128,5919,6798,Branch,14,Yes,15158,4379,17976,0.2549973434742942,376,Good,0.0809360476960177,61-70,100K-150K,False,0.0029810424332758,0-20%,Low,1
40,69,Female,119007,Self-Employed,West,Checking,3,4816,59,2117,5776,Mobile,23,Yes,15939,660,27683,0.2592152762711965,658,Poor,0.4271934028219196,61-70,100K-150K,False,0.012250830564784,41-60%,Low,1
42,54,Male,44940,Student,South,Checking,4,1568,194,8653,8148,Mobile,1,No,14002,4829,66116,0.031786607531033,331,Good,0.6886619783085908,51-60,40K-60K,True,0.1237244897959183,61-80%,Very Low,1
45,38,Female,48432,Retired,South,Checking,3,46212,321,5785,9922,Branch,11,Yes,8344,3807,95747,0.9808807431332351,605,Poor,0.1218626111827337,31-40,40K-60K,True,0.0069462477278628,0-20%,Very High,1
46,26,Female,28367,Unemployed,North,Checking,3,36540,101,3765,2943,Mobile,1,No,16788,2073,67124,0.5147302473675459,457,Poor,0.1145987787477705,18-30,20K-40K,True,0.0027640941434044,0-20%,Medium,1
48,35,Male,123601,Student,East,Checking,4,5054,201,8961,7109,Mobile,6,Yes,12555,2344,15515,0.2551422045839697,756,Poor,0.8916822090185652,31-40,100K-150K,False,0.0397704788286505,81-100%,Low,1
52,67,Male,25378,Unemployed,Central,Savings,4,33904,287,3533,592,Online,9,Yes,2811,880,89403,0.7012557191240483,793,Average,0.5089019950401829,61-70,20K-40K,True,0.0084650778669183,41-60%,High,1
