CustomerID,Age,Gender,IncomeLevel,Occupation,GeographicLocation,AccountType,NumberOfAccounts,AverageBalance,TransactionVolume,DepositPatterns,SpendingPatterns,ChannelUsage,EngagementFrequency,ServiceUsage,RevenueContribution,CostToServe,LifetimeValue,ChurnRate,CreditScore,LoanRepaymentHistory,DebtToIncomeRatio,AgeGroup,IncomeGroup,HighValueCustomer,TransactionToBalanceRatio,DebtToIncomeCategory,ChurnRiskCategory,Cluster,PreferredChannels,ContentType
1,56,Male,129952,Self-Employed,West,Savings,1,26443,157,2276,9384,Branch,19,No,11545,4450,42390,0.809960803173332,489,Good,0.8760774369233759,51-60,100K-150K,False,0.0059372990961691,81-100%,Very High,0,"['Traditional Media', 'Phone Calls', 'In-Person Visits']",Guides on estate planning.
2,69,Female,74235,Professional,South,Savings,2,2382,369,4750,1225,Branch,4,Yes,15119,3995,63036,0.4038333296992118,796,Average,0.8859972474243922,61-70,60K-80K,True,0.1549118387909319,81-100%,Medium,0,"['Traditional Media', 'Phone Calls', 'In-Person Visits']",Healthcare finance articles.
3,46,Female,78565,Self-Employed,East,Savings,2,20998,200,1043,5597,Branch,6,Yes,14745,3794,60720,0.7572630922583502,376,Good,0.6473588398087716,41-50,60K-80K,True,0.0095247166396799,61-80%,High,0,"['Traditional Media', 'Phone Calls', 'In-Person Visits']",Guides on retirement planning.
4,32,Female,75342,Self-Employed,East,Checking,2,28438,19,9383,4706,Mobile,14,Yes,1607,3040,59351,0.5290034276836081,418,Poor,0.5629577210499527,31-40,60K-80K,True,0.0006681201209649,41-60%,Medium,0,"['Email', 'Online Platforms', 'In-Person Consultations']",Articles on investment strategies.
5,60,Male,62723,Student,North,Checking,2,24479,214,1843,3577,Branch,26,No,14691,830,26896,0.8132549091094634,660,Average,0.5538857939617885,51-60,60K-80K,False,0.0087421871808488,41-60%,Very High,0,"['Traditional Media', 'Phone Calls', 'In-Person Visits']",Guides on estate planning.
6,25,Female,55572,Self-Employed,North,Savings,3,10175,139,4082,7844,Mobile,20,Yes,10080,654,56130,0.4881920109801412,719,Poor,0.0185032338738647,18-30,40K-60K,True,0.0136609336609336,0-20%,Medium,1,"['Social Media', 'Mobile Apps', 'Online Platforms']",Educational content on financial literacy.
7,38,Female,37610,Student,North,Savings,2,25693,388,3909,3167,Branch,13,Yes,7791,4428,28813,0.111510621811717,442,Poor,0.6439184050914534,31-40,20K-40K,False,0.0151013894835169,61-80%,Very Low,0,"['Email', 'Online Platforms', 'In-Person Consultations']",Articles on investment strategies.
8,56,Female,54052,Self-Employed,East,Savings,1,36294,479,1780,8212,Branch,14,No,19331,124,51227,0.3102567206239798,487,Poor,0.2331266468605293,51-60,40K-60K,True,0.0131977737367057,21-40%,Low,0,"['Traditional Media', 'Phone Calls', 'In-Person Visits']",Guides on estate planning.
9,36,Male,118993,Unemployed,North,Savings,2,48780,86,191,9711,Mobile,7,Yes,11065,1915,25696,0.6238680569948167,799,Good,0.2876283800427143,31-40,100K-150K,False,0.0017630176301763,21-40%,High,0,"['Email', 'Online Platforms', 'In-Person Consultations']",Articles on investment strategies.
10,40,Male,107063,Retired,East,Checking,2,26794,75,4119,4822,Mobile,24,No,1764,2333,11289,0.958522035990564,458,Average,0.959661030946561,31-40,100K-150K,False,0.0027991341345077,81-100%,Very High,0,"['Email', 'Online Platforms', 'In-Person Consultations']",Articles on investment strategies.
11,28,Female,57550,Student,West,Savings,1,25203,481,5869,3806,Online,3,No,356,2559,24827,0.8818269946252173,775,Good,0.2688623179066213,18-30,40K-60K,False,0.019085029559973,21-40%,Very High,0,"['Social Media', 'Mobile Apps', 'Online Platforms']",Educational content on financial literacy.
12,28,Female,74033,Student,West,Checking,2,18427,301,9810,4641,Mobile,3,No,2751,3334,78397,0.8394363012525298,831,Poor,0.926309714228126,18-30,60K-80K,True,0.0163347262169642,81-100%,Very High,0,"['Social Media', 'Mobile Apps', 'Online Platforms']",Educational content on financial literacy.
